# Age (lower edge),Age (upper edge),Log Gross Income (lower edge),Log Gross Income (upper edge),Probability
15,25,9.58598643,9.765163746,0.615882197
15,25,9.765163746,9.944341063,0.059080926
15,25,9.944341063,10.12351838,0.024950635
15,25,10.12351838,10.3026957,0.047934221
15,25,10.3026957,10.48187301,0.019642024
15,25,10.48187301,10.66105033,0.074100202
15,25,10.66105033,10.84022765,0.019254939
15,25,10.84022765,11.01940496,0.057611842
15,25,11.01940496,11.19858228,0.015625145
15,25,11.19858228,11.37775959,0.005247115
15,25,11.37775959,11.55693691,0.006063979
15,25,11.55693691,11.73611423,0
15,25,11.73611423,11.91529154,0.023685408
15,25,11.91529154,12.09446886,0.018910778
15,25,12.09446886,12.27364618,0
15,25,12.27364618,12.45282349,0.01201059
15,25,12.45282349,12.63200081,0
15,25,12.63200081,12.81117813,0
15,25,12.81117813,12.99035544,0
15,25,12.99035544,13.16953276,0
15,25,13.16953276,13.34871008,0
15,25,13.34871008,13.52788739,0
15,25,13.52788739,13.70706471,0
15,25,13.70706471,13.88624202,0
15,25,13.88624202,14.06541934,0
25,35,9.58598643,9.765163746,0.18177786
25,35,9.765163746,9.944341063,0.039338072
25,35,9.944341063,10.12351838,0.057105493
25,35,10.12351838,10.3026957,0.096039091
25,35,10.3026957,10.48187301,0.096290252
25,35,10.48187301,10.66105033,0.088760832
25,35,10.66105033,10.84022765,0.099084436
25,35,10.84022765,11.01940496,0.098040376
25,35,11.01940496,11.19858228,0.088367766
25,35,11.19858228,11.37775959,0.066453172
25,35,11.37775959,11.55693691,0.033330752
25,35,11.55693691,11.73611423,0.029477908
25,35,11.73611423,11.91529154,0.005373458
25,35,11.91529154,12.09446886,0.011246038
25,35,12.09446886,12.27364618,0.004466677
25,35,12.27364618,12.45282349,0
25,35,12.45282349,12.63200081,0.001533803
25,35,12.63200081,12.81117813,0
25,35,12.81117813,12.99035544,0
25,35,12.99035544,13.16953276,0
25,35,13.16953276,13.34871008,0
25,35,13.34871008,13.52788739,0
25,35,13.52788739,13.70706471,0
25,35,13.70706471,13.88624202,0
25,35,13.88624202,14.06541934,0.003314014
35,45,9.58598643,9.765163746,0.112049918
35,45,9.765163746,9.944341063,0.018564055
35,45,9.944341063,10.12351838,0.039741308
35,45,10.12351838,10.3026957,0.054220483
35,45,10.3026957,10.48187301,0.063068388
35,45,10.48187301,10.66105033,0.076447519
35,45,10.66105033,10.84022765,0.074562501
35,45,10.84022765,11.01940496,0.125187677
35,45,11.01940496,11.19858228,0.138840896
35,45,11.19858228,11.37775959,0.094714371
35,45,11.37775959,11.55693691,0.101329703
35,45,11.55693691,11.73611423,0.04647668
35,45,11.73611423,11.91529154,0.035492193
35,45,11.91529154,12.09446886,0.004446941
35,45,12.09446886,12.27364618,0.007005335
35,45,12.27364618,12.45282349,0
35,45,12.45282349,12.63200081,0.003031026
35,45,12.63200081,12.81117813,0
35,45,12.81117813,12.99035544,0
35,45,12.99035544,13.16953276,0
35,45,13.16953276,13.34871008,0.003231342
35,45,13.34871008,13.52788739,0
35,45,13.52788739,13.70706471,0
35,45,13.70706471,13.88624202,0.001589663
35,45,13.88624202,14.06541934,0
45,55,9.58598643,9.765163746,0.131640007
45,55,9.765163746,9.944341063,0.029224301
45,55,9.944341063,10.12351838,0.026843328
45,55,10.12351838,10.3026957,0.025824544
45,55,10.3026957,10.48187301,0.053272926
45,55,10.48187301,10.66105033,0.081981302
45,55,10.66105033,10.84022765,0.105865531
45,55,10.84022765,11.01940496,0.116368034
45,55,11.01940496,11.19858228,0.084663128
45,55,11.19858228,11.37775959,0.132790281
45,55,11.37775959,11.55693691,0.083767686
45,55,11.55693691,11.73611423,0.06476644
45,55,11.73611423,11.91529154,0.032585383
45,55,11.91529154,12.09446886,0.010286361
45,55,12.09446886,12.27364618,0.008881776
45,55,12.27364618,12.45282349,0.007902448
45,55,12.45282349,12.63200081,0
45,55,12.63200081,12.81117813,0.00152829
45,55,12.81117813,12.99035544,0
45,55,12.99035544,13.16953276,0
45,55,13.16953276,13.34871008,0
45,55,13.34871008,13.52788739,0
45,55,13.52788739,13.70706471,0
45,55,13.70706471,13.88624202,0.001808235
45,55,13.88624202,14.06541934,0
55,65,9.58598643,9.765163746,0.149108921
55,65,9.765163746,9.944341063,0.026061161
55,65,9.944341063,10.12351838,0.043716291
55,65,10.12351838,10.3026957,0.05277966
55,65,10.3026957,10.48187301,0.055265775
55,65,10.48187301,10.66105033,0.102635691
55,65,10.66105033,10.84022765,0.076380035
55,65,10.84022765,11.01940496,0.091181986
55,65,11.01940496,11.19858228,0.074781236
55,65,11.19858228,11.37775959,0.101828741
55,65,11.37775959,11.55693691,0.084291126
55,65,11.55693691,11.73611423,0.055504705
55,65,11.73611423,11.91529154,0.039790285
55,65,11.91529154,12.09446886,0.024313327
55,65,12.09446886,12.27364618,0.010897928
55,65,12.27364618,12.45282349,0.006787525
55,65,12.45282349,12.63200081,0.001730862
55,65,12.63200081,12.81117813,0.002944747
55,65,12.81117813,12.99035544,0
55,65,12.99035544,13.16953276,0
55,65,13.16953276,13.34871008,0
55,65,13.34871008,13.52788739,0
55,65,13.52788739,13.70706471,0
55,65,13.70706471,13.88624202,0
55,65,13.88624202,14.06541934,0
65,75,9.58598643,9.765163746,0.17514646
65,75,9.765163746,9.944341063,0.029959957
65,75,9.944341063,10.12351838,0.068531763
65,75,10.12351838,10.3026957,0.090145301
65,75,10.3026957,10.48187301,0.086062694
65,75,10.48187301,10.66105033,0.096302804
65,75,10.66105033,10.84022765,0.109427183
65,75,10.84022765,11.01940496,0.094676273
65,75,11.01940496,11.19858228,0.086631341
65,75,11.19858228,11.37775959,0.058167609
65,75,11.37775959,11.55693691,0.040002493
65,75,11.55693691,11.73611423,0.025494932
65,75,11.73611423,11.91529154,0.023692477
65,75,11.91529154,12.09446886,0.003130643
65,75,12.09446886,12.27364618,0.007167594
65,75,12.27364618,12.45282349,0.001144599
65,75,12.45282349,12.63200081,0.001733726
65,75,12.63200081,12.81117813,0.002582151
65,75,12.81117813,12.99035544,0
65,75,12.99035544,13.16953276,0
65,75,13.16953276,13.34871008,0
65,75,13.34871008,13.52788739,0
65,75,13.52788739,13.70706471,0
65,75,13.70706471,13.88624202,0
65,75,13.88624202,14.06541934,0
75,85,9.58598643,9.765163746,0.177725325
75,85,9.765163746,9.944341063,0.056754954
75,85,9.944341063,10.12351838,0.040137603
75,85,10.12351838,10.3026957,0.05981609
75,85,10.3026957,10.48187301,0.16222542
75,85,10.48187301,10.66105033,0.101780779
75,85,10.66105033,10.84022765,0.083384951
75,85,10.84022765,11.01940496,0.135077892
75,85,11.01940496,11.19858228,0.057784333
75,85,11.19858228,11.37775959,0.043047081
75,85,11.37775959,11.55693691,0.031171607
75,85,11.55693691,11.73611423,0.030171576
75,85,11.73611423,11.91529154,0.005737914
75,85,11.91529154,12.09446886,0.007940519
75,85,12.09446886,12.27364618,0.005706064
75,85,12.27364618,12.45282349,0
75,85,12.45282349,12.63200081,0
75,85,12.63200081,12.81117813,0
75,85,12.81117813,12.99035544,0
75,85,12.99035544,13.16953276,0
75,85,13.16953276,13.34871008,0
75,85,13.34871008,13.52788739,0
75,85,13.52788739,13.70706471,0.001537891
75,85,13.70706471,13.88624202,0
75,85,13.88624202,14.06541934,0
85,95,9.58598643,9.765163746,0.177725325
85,95,9.765163746,9.944341063,0.056754954
85,95,9.944341063,10.12351838,0.040137603
85,95,10.12351838,10.3026957,0.05981609
85,95,10.3026957,10.48187301,0.16222542
85,95,10.48187301,10.66105033,0.101780779
85,95,10.66105033,10.84022765,0.083384951
85,95,10.84022765,11.01940496,0.135077892
85,95,11.01940496,11.19858228,0.057784333
85,95,11.19858228,11.37775959,0.043047081
85,95,11.37775959,11.55693691,0.031171607
85,95,11.55693691,11.73611423,0.030171576
85,95,11.73611423,11.91529154,0.005737914
85,95,11.91529154,12.09446886,0.007940519
85,95,12.09446886,12.27364618,0.005706064
85,95,12.27364618,12.45282349,0
85,95,12.45282349,12.63200081,0
85,95,12.63200081,12.81117813,0
85,95,12.81117813,12.99035544,0
85,95,12.99035544,13.16953276,0
85,95,13.16953276,13.34871008,0
85,95,13.34871008,13.52788739,0
85,95,13.52788739,13.70706471,0.001537891
85,95,13.70706471,13.88624202,0
85,95,13.88624202,14.06541934,0
